Variable,Season,Location,Value,ensemble,machine
psl,ALL,Global,4.483,p000,lumi
psl,ALL,North Midlat,5.783,p000,lumi
psl,ALL,Tropical,4.953,p000,lumi
psl,ALL,South Midlat,2.244,p000,lumi
psl,DJF,Global,1.437,p000,lumi
psl,DJF,North Midlat,1.373,p000,lumi
psl,DJF,Tropical,1.724,p000,lumi
psl,DJF,South Midlat,0.925,p000,lumi
psl,JJA,Global,4.803,p000,lumi
psl,JJA,North Midlat,5.847,p000,lumi
psl,JJA,Tropical,5.973,p000,lumi
psl,JJA,South Midlat,1.42,p000,lumi
tas,ALL,Global,42.904,p000,lumi
tas,ALL,North Midlat,31.632,p000,lumi
tas,ALL,Tropical,55.713,p000,lumi
tas,ALL,South Midlat,19.298,p000,lumi
tas,DJF,Global,21.887,p000,lumi
tas,DJF,North Midlat,10.493,p000,lumi
tas,DJF,Tropical,33.525,p000,lumi
tas,DJF,South Midlat,14.109,p000,lumi
tas,JJA,Global,45.425,p000,lumi
tas,JJA,North Midlat,51.434,p000,lumi
tas,JJA,Tropical,42.236,p000,lumi
tas,JJA,South Midlat,13.249,p000,lumi
pr,ALL,Global,,p000,lumi
pr,ALL,North Midlat,,p000,lumi
pr,ALL,Tropical,,p000,lumi
pr,ALL,South Midlat,,p000,lumi
pr,DJF,Global,,p000,lumi
pr,DJF,North Midlat,,p000,lumi
pr,DJF,Tropical,,p000,lumi
pr,DJF,South Midlat,,p000,lumi
pr,JJA,Global,,p000,lumi
pr,JJA,North Midlat,,p000,lumi
pr,JJA,Tropical,,p000,lumi
pr,JJA,South Midlat,,p000,lumi
ta,ALL,Global,30.091,p000,lumi
ta,ALL,North Midlat,65.608,p000,lumi
ta,ALL,Tropical,15.9,p000,lumi
ta,ALL,South Midlat,22.955,p000,lumi
ta,DJF,Global,13.582,p000,lumi
ta,DJF,North Midlat,10.225,p000,lumi
ta,DJF,Tropical,7.724,p000,lumi
ta,DJF,South Midlat,28.655,p000,lumi
ta,JJA,Global,43.251,p000,lumi
ta,JJA,North Midlat,117.364,p000,lumi
ta,JJA,Tropical,23.048,p000,lumi
ta,JJA,South Midlat,9.544,p000,lumi
